schedule_operation_id,machine_id,task,task_mode,planned_start,planned_end,product_finished
TEXTILE-SCHEDULE-0180,MAQ120,Ironing,Ironing TM1,2026-01-06T12:20:00+00:00,2026-01-06T13:05:00+00:00,
TEXTILE-SCHEDULE-0181,MAQ120,Sublimation,Sublimation TM1,2026-01-06T13:05:00+00:00,2026-01-06T13:10:00+00:00,PRINTED RIBBON
TEXTILE-SCHEDULE-0182,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-06T13:25:00+00:00,2026-01-06T13:30:00+00:00,
TEXTILE-SCHEDULE-0183,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-06T14:05:00+00:00,2026-01-06T14:10:00+00:00,
TEXTILE-SCHEDULE-0184,MAQ120,Sublimation,Sublimation TM1,2026-01-06T14:40:00+00:00,2026-01-06T14:45:00+00:00,PRINTED RIBBON PES
TEXTILE-SCHEDULE-0185,MAQ120,Ironing,Ironing TM1,2026-01-06T15:05:00+00:00,2026-01-06T15:50:00+00:00,
TEXTILE-SCHEDULE-0186,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-06T16:10:00+00:00,2026-01-06T16:15:00+00:00,
TEXTILE-SCHEDULE-0187,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-06T16:50:00+00:00,2026-01-06T16:55:00+00:00,
TEXTILE-SCHEDULE-0188,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-06T17:25:00+00:00,2026-01-06T17:30:00+00:00,
TEXTILE-SCHEDULE-0189,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-06T18:00:00+00:00,2026-01-06T18:05:00+00:00,
TEXTILE-SCHEDULE-0190,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-06T18:40:00+00:00,2026-01-06T18:45:00+00:00,
TEXTILE-SCHEDULE-0191,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-06T19:15:00+00:00,2026-01-06T19:20:00+00:00,
TEXTILE-SCHEDULE-0192,MAQ120,Ironing,Ironing TM1,2026-01-06T19:50:00+00:00,2026-01-06T20:35:00+00:00,GORGORÃO RIBBON W/ INSCR
TEXTILE-SCHEDULE-0193,MAQ120,Ironing,Ironing TM1,2026-01-06T20:35:00+00:00,2026-01-06T21:20:00+00:00,
TEXTILE-SCHEDULE-0194,MAQ120,Ironing,Ironing TM1,2026-01-06T21:20:00+00:00,2026-01-06T22:05:00+00:00,
TEXTILE-SCHEDULE-0195,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-06T22:05:00+00:00,2026-01-06T22:10:00+00:00,PRINTED RIBBON
TEXTILE-SCHEDULE-0196,MAQ120,Ironing,Ironing TM1,2026-01-06T22:55:00+00:00,2026-01-06T23:40:00+00:00,
TEXTILE-SCHEDULE-0197,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-06T23:40:00+00:00,2026-01-06T23:45:00+00:00,
TEXTILE-SCHEDULE-0198,MAQ120,Ironing,Ironing TM1,2026-01-07T00:15:00+00:00,2026-01-07T01:00:00+00:00,
TEXTILE-SCHEDULE-0199,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-07T01:10:00+00:00,2026-01-07T01:15:00+00:00,
TEXTILE-SCHEDULE-0200,MAQ120,Sublimation,Sublimation TM1,2026-01-07T01:45:00+00:00,2026-01-07T01:50:00+00:00,
TEXTILE-SCHEDULE-0201,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-07T02:05:00+00:00,2026-01-07T02:10:00+00:00,
TEXTILE-SCHEDULE-0202,MAQ120,Sublimation,Sublimation TM1,2026-01-07T02:40:00+00:00,2026-01-07T02:45:00+00:00,PRINTED RIBBON PES
TEXTILE-SCHEDULE-0203,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-07T03:05:00+00:00,2026-01-07T03:10:00+00:00,PRINTED RIBBON
TEXTILE-SCHEDULE-0204,MAQ120,Ironing,Ironing TM1,2026-01-07T04:55:00+00:00,2026-01-07T05:40:00+00:00,
TEXTILE-SCHEDULE-0205,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-07T05:40:00+00:00,2026-01-07T05:45:00+00:00,
TEXTILE-SCHEDULE-0206,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-07T06:15:00+00:00,2026-01-07T06:20:00+00:00,
TEXTILE-SCHEDULE-0207,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-07T07:10:00+00:00,2026-01-07T07:15:00+00:00,
TEXTILE-SCHEDULE-0208,MAQ120,Sublimation,Sublimation TM1,2026-01-07T07:45:00+00:00,2026-01-07T07:50:00+00:00,
TEXTILE-SCHEDULE-0209,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-07T08:20:00+00:00,2026-01-07T08:25:00+00:00,BRAIDED ELASTIC
TEXTILE-SCHEDULE-0210,MAQ120,Anti-Shrinkage,Anti-Shrinkage TM1,2026-01-07T08:55:00+00:00,2026-01-07T09:00:00+00:00,
TEXTILE-SCHEDULE-0211,MAQ120,Ironing,Ironing TM1,2026-01-07T09:30:00+00:00,2026-01-07T10:15:00+00:00,GORGORÃO RIBBON
TEXTILE-SCHEDULE-0212,MAQ120,Sublimation,Sublimation TM1,2026-01-07T10:15:00+00:00,2026-01-07T10:20:00+00:00,PRINTED RIBBON PES
TEXTILE-SCHEDULE-0213,MAQ120,Sublimation,Sublimation TM1,2026-01-07T10:35:00+00:00,2026-01-07T10:40:00+00:00,
